sigma,sigma_over_we,vtap_abs,vtap_re,vtap_im,phase_deg,tan_delta,i_leak,i_terminal,p_loss,emax
0,0,29117.64706,29117.64706,0,0,0,0,0.0004049718952,0,808823.5294
1e-10,0.007190041434,29117.64191,29117.6411,6.871957771,0.01352218638,5.286790639e-05,2.141001679e-08,0.0004049719061,0.001177550924,808828.4049
3.16227766e-10,0.0227369074,29117.59557,29117.58746,21.73051687,0.04275995304,0.0001671817096,6.770391111e-08,0.0004049720045,0.003723715111,808872.2663
1e-09,0.07190041434,29117.13294,29117.05189,68.70148034,0.1351887403,0.0005286342986,2.140825813e-07,0.0004049729876,0.01177454197,809309.1464
3.16227766e-09,0.227369074,29112.58382,29111.77695,216.7479384,0.4265803714,0.001670431548,6.764950187e-07,0.0004049827504,0.03720722603,813511.5038
1e-08,0.7190041434,29072.81626,29065.02847,672.8784206,1.326205761,0.005249522135,2.12642216e-06,0.0004050752438,0.1169532188,843795.3593
3.16227766e-08,2.27369074,28823.41388,28755.46089,1978.04356,3.935088878,0.01608173823,6.525873139e-06,0.0004058464862,0.3589230227,918091.3173
1e-07,7.190041434,27552.6778,27064.29845,5164.668782,10.80383559,0.04447680509,1.827987429e-05,0.0004114042324,1.005393086,1131494.682
3.16227766e-07,22.7369074,22152.58386,20213.27623,9064.239378,24.15289506,0.0774042795,3.375016177e-05,0.0004373287465,1.856258898,1523013.579
1e-06,71.90041434,13469.38788,12173.10501,5765.407572,25.34310026,0.04652805636,2.170298146e-05,0.0004669539719,1.19366398,1833557.549
3.16227766e-06,227.369074,10537.92789,10339.88438,2033.399944,11.12558469,0.01618861194,7.663919959e-06,0.0004734763036,0.4215155978,1896187.017
1e-05,719.0041434,10153.49936,10132.6379,650.5371042,3.67347033,0.005171201751,2.452194127e-06,0.0004742083237,0.134870677,1903125.514
3.16227766e-05,2273.69074,10113.73957,10111.64225,205.9588086,1.166866734,0.001636937766,7.763697697e-07,0.000474282423,0.04270033733,1903826.903
0.0001,7190.041434,10109.74979,10109.53994,65.13752228,0.3691615535,0.0005176977319,2.455387426e-07,0.000474289842,0.01350463084,1903897.118
0.000316227766,22736.9074,10109.35067,10109.32968,20.59853442,0.1167443827,0.0001637120595,7.764708726e-08,0.000474290584,0.004270589799,1903904.14
0.001,71900.41434,10109.31076,10109.30866,6.513836152,0.03691798133,5.17703514e-05,2.455419401e-08,0.0004742906582,0.001350480671,1903904.842
