sigma,vtap_abs,phase_deg,tan_delta,i_leak,i_terminal,emax
0,29117.64706,0,0,0,0.0004049718952,808823.5294
1e-10,29117.6459,0.004221933565,2.643395723e-05,1.070500992e-08,0.0004049719015,808823.5509
3.455107295e-10,29117.63323,0.01458712918,9.133145458e-05,3.698667897e-08,0.0004049719704,808823.7859
1.193776642e-09,29117.48199,0.0503958024,0.0003155309869,1.277814587e-07,0.000404972793,808826.5891
4.124626383e-09,29115.68702,0.1739490941,0.001089018883,4.410333928e-07,0.0004049825594,808859.8237
1.42510267e-08,29095.37973,0.5950264191,0.003721804296,1.507667865e-06,0.0004050933866,809231.7359
4.923882632e-08,28897.96388,1.931039334,0.01196647252,4.860169026e-06,0.0004061779262,812680.2031
1.70125428e-07,27524.08603,4.609240722,0.0267149299,1.104313565e-05,0.0004135169234,834615.5294
5.878016072e-07,25112.62085,3.598307161,0.01850767298,7.869707958e-06,0.0004252860785,868926.112
2.030917621e-06,24507.01377,1.216867748,0.006071510622,2.598713997e-06,0.0004280255866,920046.7246
7.017038287e-06,24447.60888,0.3572463606,0.001777141534,7.611303596e-07,0.0004282897829,924910.6189
2.424462017e-05,24442.5612,0.1035210328,0.0005148401061,2.205122666e-07,0.0004283121948,925322.131
8.376776401e-05,24442.13786,0.02996476258,0.0001490202728,6.382747945e-08,0.0004283140742,925356.6313
0.0002894266125,24442.10239,0.00867267297,4.313071993e-05,1.847350115e-08,0.0004283142317,925359.5215
0.001,24442.09942,0.002510104135,1.248318513e-05,5.34672601e-09,0.0004283142448,925359.7636
