sigma,vtap_abs,phase_deg,tan_delta,i_leak,i_terminal,emax
0,29117.64706,0,0,0,0.0004049718952,808823.5294
1e-10,29117.64596,0.003373418412,2.114716213e-05,8.564006446e-09,0.000404971901,808823.5473
3.455107295e-10,29117.63389,0.01165541705,7.306501282e-05,2.958928173e-08,0.000404971965,808823.7433
1.193776642e-09,29117.4899,0.04026637129,0.0002524185764,1.022226363e-07,0.0004049727282,808826.0811
4.124626383e-09,29115.78138,0.1389486847,0.0008709629279,3.527239881e-07,0.0004049817858,808853.8007
1.42510267e-08,29096.50682,0.4739994864,0.002968522143,1.202495991e-06,0.0004050841569,809164.2879
4.923882632e-08,28912.25673,1.508760808,0.009367233414,3.803542956e-06,0.000406065447,812041.3889
1.70125428e-07,27771.36842,3.180680874,0.01869348692,7.700074374e-06,0.0004119841135,828823.1499
5.878016072e-07,26300.23326,2.012252362,0.01101074186,4.614945704e-06,0.0004191566294,848904.2418
2.030917621e-06,26009.03852,0.6472042687,0.003491333871,1.468153697e-06,0.0004205162551,880725.9308
7.017038287e-06,25981.82494,0.1890823382,0.001018643645,4.284844072e-07,0.0004206423234,884064.5272
2.424462017e-05,25979.5232,0.05476867373,0.0002950221258,1.241019306e-07,0.0004206529785,884346.1429
8.376776401e-05,25979.33024,0.0158525603,8.539209598e-05,3.592051566e-08,0.0004206538717,884369.747
0.0002894266125,25979.31407,0.00458817825,2.471486246e-05,1.039640443e-08,0.0004206539466,884371.7244
0.001,25979.31272,0.001327941505,7.153141765e-06,3.008997359e-09,0.0004206539528,884371.89
