sigma,vtap_abs,phase_deg,tan_delta,i_leak,i_terminal,emax
0,29117.64706,0,0,0,0.0004049718952,808823.5294
1e-10,29117.64524,0.003417350785,2.114714311e-05,8.563998816e-09,0.0004049719045,808823.5735
3.455107295e-10,29117.62533,0.01180709361,7.306422836e-05,2.958896706e-08,0.0004049720062,808824.0562
1.193776642e-09,29117.38777,0.04078571459,0.0002523862651,1.022096752e-07,0.0004049732199,808829.8138
4.124626383e-09,29114.57352,0.1405520049,0.0008696516056,3.521979828e-07,0.0004049875994,808897.9438
1.42510267e-08,29083.32979,0.4728915083,0.002922161527,1.18390113e-06,0.0004051474134,809646.07
4.923882632e-08,28812.56153,1.362838257,0.008318461565,3.381589529e-06,0.0004065302819,815867.9317
1.70125428e-07,27826.04652,1.781861715,0.01038078966,4.270777519e-06,0.000411433789,837302.5951
5.878016072e-07,27300.73495,0.7367362757,0.004185953119,1.732773279e-06,0.0004139531454,848169.4516
2.030917621e-06,27236.10041,0.2211924938,0.001252886081,5.190186449e-07,0.0004142587744,849482.3358
7.017038287e-06,27230.47262,0.06421989975,0.0003636587311,1.506584714e-07,0.0004142853409,849596.4039
2.424462017e-05,27229.99963,0.01859183559,0.0001052778116,4.361528887e-08,0.0004142875733,849605.9889
8.376776401e-05,27229.96,0.005381090566,3.047081387e-05,1.262368523e-08,0.0004142877604,849606.792
0.0002894266125,27229.95668,0.001557434677,8.819079311e-06,3.653636755e-09,0.0004142877761,849606.8593
0.001,27229.9564,0.0004507617919,2.552476611e-06,1.057459862e-09,0.0004142877774,849606.8649
