sigma,vtap_abs,phase_deg,tan_delta,i_leak,i_terminal,emax
0,29117.64706,0,0,0,0.0004049718952,808823.5294
1e-10,29117.64069,0.007602723724,2.114711571e-05,8.563987775e-09,0.0004049719069,808828.4347
3.455107295e-10,29117.57109,0.02626674492,7.306309894e-05,2.958851181e-08,0.0004049720353,808882.0617
1.193776642e-09,29116.74201,0.09069356618,0.0002523398823,1.021909788e-07,0.0004049735663,809518.6585
4.124626383e-09,29107.08779,0.3109578738,0.0008678312571,3.514642257e-07,0.000404991587,816640.6131
1.42510267e-08,29012.7715,1.007366218,0.002872170381,1.163749758e-06,0.0004051829815,864818.7932
4.923882632e-08,28387.55251,2.614903483,0.007642671837,3.107975975e-06,0.0004066727983,967713.1786
1.70125428e-07,26691.04367,2.877333894,0.008033288731,3.300357139e-06,0.000410848376,1233522.707
5.878016072e-07,25982.38518,1.105827746,0.003005610149,1.239902886e-06,0.0004125313746,1315785.939
2.030917621e-06,25902.09712,0.3291668135,0.0008918488033,3.680829148e-07,0.0004127191289,1324530.293
7.017038287e-06,25895.17181,0.09549751877,0.0002586715803,1.067628875e-07,0.0004127352953,1325279.683
2.424462017e-05,25894.59025,0.02764506364,7.487972703e-05,3.09056078e-08,0.0004127366527,1325342.579
8.376776401e-05,25894.54152,0.008001350484,2.167250796e-05,8.945040852e-09,0.0004127367664,1325347.849
0.0002894266125,25894.53744,0.00231580788,6.272608374e-06,2.588936157e-09,0.0004127367759,1325348.29
0.001,25894.5371,0.0006702519164,1.815459982e-06,7.493071015e-10,0.0004127367767,1325348.327
