sigma,vtap_abs,phase_deg,tan_delta,i_leak,i_terminal,emax
0,29117.64706,0,0,0,0.0004049718952,808823.5294
1e-10,29117.64191,0.01352218638,5.286790639e-05,2.141001679e-08,0.0004049719061,808828.4049
3.455107295e-10,29117.58559,0.04671933695,0.0001826625766,7.397323241e-08,0.0004049720257,808881.7058
1.193776642e-09,29116.91493,0.1613682548,0.0006310484091,2.555578014e-07,0.0004049734515,809514.4108
4.124626383e-09,29109.13099,0.5555021857,0.002177548262,8.818837816e-07,0.0004049902763,816589.9693
1.42510267e-08,29034.95812,1.864698446,0.007440367914,3.014560047e-06,0.0004051739809,864230.9842
4.923882632e-08,28547.19655,5.871732357,0.02428472701,9.878446707e-06,0.0004068960368,960914.4154
1.70125428e-07,25887.29378,16.41962329,0.06370033283,2.668237069e-05,0.0004197223101,1292373.042
5.878016072e-07,17034.01499,28.26057664,0.06645553681,3.02843674e-05,0.0004567138901,1731861.494
2.030917621e-06,11102.4192,16.26351,0.02481265164,1.171665176e-05,0.0004723500799,1885477.727
7.017038287e-06,10198.73738,5.208483417,0.007360942189,3.489902217e-06,0.000474123648,1902323.798
2.424462017e-05,10116.84655,1.52143663,0.002134924054,1.012542307e-06,0.0004742766435,1903772.203
8.376776401e-05,10109.93829,0.4406870805,0.0006180124959,2.931167765e-07,0.0004742894916,1903893.801
0.0002894266125,10109.35926,0.1275548895,0.0001788718981,8.483725278e-08,0.000474290568,1903903.989
0.001,10109.31076,0.03691798133,5.17703514e-05,2.455419401e-08,0.0004742906582,1903904.842
