sigma,sigma_over_we,C_total_pF,vtap_abs,vtap_phase_deg,vtap_phase_mdeg,tan_delta,i_leak,p_loss,divider_ratio
0,0,5624.007662,11829.24045,-0.0001202697957,-0.1202697957,0.00199919779,0.0002508395561,8.906570541,0.1665759795
1e-10,0.005991701195,5624.007663,11829.24045,-0.0001199841617,-0.1199841617,0.001999341371,0.0002508575712,8.907210204,0.1665759794
3.16227766e-10,0.01894742283,5624.007669,11829.24044,-0.0001193572229,-0.1193572229,0.001999651807,0.0002508965219,8.90859323,0.1665759793
1e-09,0.05991701195,5624.007726,11829.24038,-0.0001173964877,-0.1173964877,0.002000632923,0.0002510196252,8.912964264,0.1665759785
3.16227766e-09,0.1894742283,5624.00825,11829.23983,-0.0001116734372,-0.1116734372,0.002003719725,0.0002514069499,8.926717018,0.1665759707
1e-08,0.5991701195,5624.012229,11829.23584,-0.00010431915,-0.10431915,0.002013119417,0.0002525865091,8.968599676,0.1665759145
3.16227766e-08,1.894742283,5624.024015,11829.22598,-0.000151873065,-0.151873065,0.002040169424,0.0002559810156,9.089128557,0.1665757758
1e-07,5.991701195,5624.037635,11829.219,-0.0003370032596,-0.3370032596,0.002122844407,0.0002663549296,9.457475553,0.1665756774
3.16227766e-07,18.94742283,5624.052411,11829.20949,-0.0008865388241,-0.8865388241,0.002383924779,0.0002991136716,10.62064157,0.1665755435
1e-06,59.91701195,5624.090506,11829.14376,-0.002808151356,-2.808151356,0.003206784829,0.0004023615552,14.28666846,0.1665746179
3.16227766e-06,189.4742283,5624.177969,11829.54343,-0.01144730902,-11.44730902,0.00579385651,0.0007269777968,25.81283084,0.1665802459
1e-05,599.1701195,5624.314296,11833.25494,-0.0173055346,-17.3055346,0.01394741133,0.001750078573,62.14011261,0.1666325103
3.16227766e-05,1894.742283,5624.381874,11835.52893,-0.008007858141,-8.007858141,0.03972148011,0.004984189887,176.9738374,0.1666645321
0.0001,5991.701195,5624.391792,11835.86947,-0.002696515031,-2.696515031,0.1212603524,0.0152155883,540.2605259,0.1666693274
0.000316227766,18947.42283,5624.392836,11835.90528,-0.0009032000957,-0.9032000957,0.3791274067,0.04757241331,1689.155656,0.1666698318
0.001,59917.01195,5624.392942,11835.9089,-0.0003322595674,-0.3322595674,1.19458085,0.1498944524,5322.30855,0.1666698827
