case,family,severity,p_vol_W,p_surf_W,p_total_W,dt_max_K,T_abs_C,hot_r,hot_z,hot_body,risk,tan_delta,surface_leak,volume_leak
healthy,healthy,0.0,8.865781852555799,0.0,8.865781852555799,4.902618553672928,44.90261855367293,0.0,1.2098015873,element_5,minor,0.001999533317504881,0.0,0.00025054112378946686
C1_loss_0.005,C1_loss,0.005,19.943669991110646,0.0,19.943669991110646,12.255472537111222,52.255472537111224,0.0,1.2098015873,element_5,elevated,0.004489486518555142,0.0,0.0005625324420873463
C1_loss_0.01,C1_loss,0.01,38.40672090906982,0.0,38.40672090906982,24.51012763717452,64.51012763717452,0.0,1.2098015873,element_5,elevated,0.008639326026021176,0.0,0.00108251530253937
C1_loss_0.02,C1_loss,0.02,75.33218615500644,0.0,75.33218615500644,49.01887442786796,89.01887442786796,0.0,1.2098015873,element_5,high,0.016938323706699628,0.0,0.002122463218900154
C1_loss_0.05,C1_loss,0.05,186.0979566941101,0.0,186.0979566941101,122.53695526920701,162.536955269207,0.0,1.2098015873,element_5,critical (>hot-spot limit),0.0418224314957299,0.0,0.005242008717938012
C1_loss_0.1,C1_loss,0.1,370.6352943171811,0.0,370.6352943171811,245.01555551312626,285.0155555131263,0.0,1.2098015873,element_5,critical (>hot-spot limit),0.08320357259764952,0.0,0.010439218870328632
C2_loss_0.05,C2_loss,0.05,44.210385673877994,0.0,44.210385673877994,90.50569303492945,130.50569303492944,0.0,0.675007936508,element_11,critical (>hot-spot limit),0.009940730383520866,0.0,0.0012459669443705618
pollution_1e-08,pollution,1e-08,8.868814455901447,7.316721929689708,16.185536385591156,5.202346224914184,45.20234622491418,0.0,1.30153174603,element_4,minor,0.0036439205424472726,0.00020606396954595075,0.0002506265478726005
pollution_1e-07,pollution,1e-07,8.868368201392036,71.61827975117792,80.48664795256995,7.908139389712908,47.90813938971291,0.0,1.29763492063,element_4,minor,0.01809234004794691,0.0020170162484507556,0.00025061400801147367
pollution_1e-06,pollution,1e-06,8.868276900837344,715.0280195852955,723.8962964861329,34.47819652151772,74.47819652151772,0.0,1.12196825397,element_6,high,0.1626662756388125,0.020137639979790015,0.0002506114385821081
C1_cap_20,C1_cap,20.0,10.294941423871578,0.0,10.294941423871578,5.900266314476848,45.90026631447685,0.0,0.686698412698,element_11,minor,0.0020015843233427014,0.0,0.00029108762386395343
disc_short,disc_short,1.0,9.714467867256124,0.0,9.714467867256124,5.8076663711706065,45.807666371170605,0.0,0.862365079365,element_9,minor,0.002009584756664665,0.0,0.0002746044801518691
