surface_sigma_S;tan_delta;tap_dtheta_mdeg;dtheta_dlnsigma;dlog10tand_dlnsigma;speed;sec_ratio_pct;sec_phase_arcmin;leakage_mA
1.0000e-09;0.002243;-0.3907;-0.7014;0.0321;0.7021;-0.0033;0.0003;0.0208
1.3594e-09;0.002295;-0.6061;-0.7407;0.0367;0.7416;-0.0033;0.0009;0.0253
1.8478e-09;0.002363;-0.8456;-0.8705;0.0485;0.8718;-0.0033;0.0022;0.0332
2.5119e-09;0.002457;-1.1406;-1.1173;0.0651;1.1192;-0.0033;0.0044;0.0459
3.4145e-09;0.002591;-1.5316;-1.5147;0.0865;1194710,00;-0.0035;0.0079;0.0643
4.6416e-09;0.002777;-2.0706;-2.1267;0.1120;2.1297;-0.0037;0.0129;0.0895
6.3096e-09;0.003035;-2.8374;-3.0975;0.1411;3.1007;-0.0041;0.0201;0.1234
8.5770e-09;0.003390;-3.9725;-4.6644;0.1727;1744491,00;-0.0046;0.0301;0.1689
1.1659e-08;0.003875;-5.7014;-6.9718;0.2058;2866942,00;-0.0051;0.0437;0.2304
1.5849e-08;0.004535;-8.2534;-9.6387;0.2391;1650046,00;-0.0051;0.0626;0.3136
2.1544e-08;0.005433;-11.6198;-11.4906;0.2712;1109913,00;-0.0036;0.0888;0.4265
2.9286e-08;0.006654;-15.3089;-10.9766;0.3008;2888613,00;0.0004;0.1249;0.5796
3.9811e-08;0.008313;-18.3597;-7.2464;0.3271;232843,00;0.0070;0.1743;0.7874
5.4117e-08;0.010567;-19.7583;-1.1886;0.3497;178606,00;0.0152;0.2408;1.0697
7.3564e-08;0.013629;-19.0896;2236107,00;0.3685;2287972,00;0.0226;0.3295;963512,00
1.0000e-07;0.017792;-16.8096;1491499,00;0.3839;1522911,00;0.0269;0.4474;2873000,00
1.3594e-07;0.023452;-13.8100;1991182,00;0.3961;2020767,00;0.0269;0.6039;1817846,00
1.8478e-07;0.031149;-10.8320;9.0447;0.4056;9.0538;0.0220;0.8110;1696613,00
2.5119e-07;0.041614;-8.2563;1369478,00;0.4129;1410750,00;0.0122;1.0840;2844602,00
3.4145e-07;0.055842;-6.1870;2853031,00;0.4184;2906722,00;-0.0034;912013,00;2064869,00
4.6416e-07;0.075185;-4.5899;1369387,00;0.4225;1440609,00;-0.0262;2574962,00;9.1835
6.3096e-07;0.101480;-3.3840;874087,00;0.4256;970146,00;-0.0584;989475,00;1074515,00
8.5770e-07;0.137226;-2.4843;1321115,00;0.4278;1451142,00;-0.1035;3.1301;16.9708
1.1659e-06;0.185819;-1.8172;2552317,00;0.4295;2728729,00;-0.1662;2418697,00;23.0696
1.5849e-06;0.251874;-1.3245;745827,00;0.4308;983235,00;-0.2521;1092533,00;31.3601
2.1544e-06;0.341667;-0.9612;1.0275;0.4317;1.1145;-0.3668;2047641,00;42.6297
2.9286e-06;0.463727;-0.6936;0.7566;0.4324;0.8715;-0.5114;4.1415;57.9491
3.9811e-06;0.629652;-0.4966;0.5569;0.4329;0.7054;-0.6770;2.0263;78.7735
5.4117e-06;0.855202;-0.3516;0.4098;0.4333;0.5964;-0.8395;-2.0422;107.0813
7.3564e-06;1.161805;-0.2449;0.3015;0.4335;0.5281;-0.9659;-7.8349;145.5618
1.0000e-05;1.578589;-0.1665;0.2556;0.4337;0.5034;-1.0347;-14.3585;197.8703
